                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     56,                0.77903,                0.64101,                 1.1194,                 0.9556,                0.96075,                0.99186,                0.83614,                0.60538,                0.49093,                0.99846,               0.000911,               0.000911,               0.000911
                     57,                0.80066,                 0.6574,                 1.1721,                 0.9823,                0.99104,                0.99464,                0.85661,                0.58495,                0.43362,                0.98791,              0.0008912,              0.0008912,              0.0008912
                     58,                0.78509,                0.57625,                 1.1393,                0.96729,                0.99107,                 0.9942,                0.85417,                0.59317,                0.43262,                0.99774,              0.0008714,              0.0008714,              0.0008714
                     59,                0.82738,                0.64868,                 1.1586,                0.97462,                0.98214,                 0.9931,                0.86419,                0.56393,                0.42508,                 0.9824,              0.0008516,              0.0008516,              0.0008516
                     60,                 0.8257,                0.64547,                 1.1651,                0.96526,                0.97321,                0.99155,                0.84538,                0.58848,                 0.4362,                 1.0032,              0.0008318,              0.0008318,              0.0008318
                     61,                0.72622,                0.59139,                 1.1118,                 0.9545,                0.97321,                0.98874,                0.83619,                0.58509,                 0.4587,                 1.0045,               0.000812,               0.000812,               0.000812
                     62,                0.79666,                0.61316,                 1.1586,                0.95208,                0.96429,                0.98872,                0.83611,                0.57461,                0.48233,                 0.9832,              0.0007922,              0.0007922,              0.0007922
                     63,                0.79267,                0.61438,                   1.13,                0.96931,                      1,                0.99438,                0.85915,                0.56046,                0.41943,                 0.9713,              0.0007724,              0.0007724,              0.0007724
                     64,                0.69877,                0.54211,                 1.1153,                0.98128,                      1,                  0.995,                0.85646,                0.61668,                0.40479,                 1.0008,              0.0007526,              0.0007526,              0.0007526
                     65,                 0.7653,                0.57492,                 1.1371,                0.98885,                      1,                0.99438,                0.85421,                0.58099,                0.39302,                0.98163,              0.0007328,              0.0007328,              0.0007328
                     66,                0.71437,                0.57835,                 1.1158,                0.98892,                      1,                0.99403,                0.86707,                0.54206,                0.37843,                0.95165,               0.000713,               0.000713,               0.000713
                     67,                0.81302,                0.64837,                 1.1763,                0.98245,                0.99957,                0.99337,                0.85718,                0.59381,                0.44134,                 0.9783,              0.0006932,              0.0006932,              0.0006932
                     68,                0.70098,                0.56552,                 1.0955,                0.98864,                      1,                0.99473,                0.86472,                0.52864,                0.43003,                0.96218,              0.0006734,              0.0006734,              0.0006734
                     69,                0.80689,                0.57399,                 1.1685,                0.97516,                0.99107,                0.99428,                0.86453,                0.54816,                0.42999,                0.97498,              0.0006536,              0.0006536,              0.0006536
                     70,                0.74206,                0.58054,                 1.1185,                0.93222,                0.98236,                0.98215,                0.85617,                0.59358,                 0.4489,                0.98789,              0.0006338,              0.0006338,              0.0006338
                     71,                0.73294,                0.57854,                 1.1522,                0.98158,                0.95185,                0.98997,                0.84651,                0.61226,                0.44624,                 1.0145,               0.000614,               0.000614,               0.000614
                     72,                0.69773,                0.55969,                 1.0931,                0.99478,                0.97321,                0.99372,                0.86546,                 0.5291,                0.40055,                0.97233,              0.0005942,              0.0005942,              0.0005942
                     73,                0.75098,                0.55809,                 1.1596,                0.98337,                0.97321,                0.99374,                0.87127,                0.51104,                0.37939,                0.95907,              0.0005744,              0.0005744,              0.0005744
                     74,                0.65406,                0.51273,                 1.0718,                0.98046,                0.98214,                0.99447,                0.87759,                0.51063,                0.35644,                0.94686,              0.0005546,              0.0005546,              0.0005546
                     75,                0.66701,                0.50411,                 1.0886,                0.98973,                0.98214,                0.99438,                0.87123,                0.48367,                0.36635,                0.92684,              0.0005348,              0.0005348,              0.0005348
                     76,                0.60459,                0.50583,                 1.0464,                0.98998,                0.98214,                0.99411,                0.89403,                0.47098,                0.34109,                0.91465,               0.000515,               0.000515,               0.000515
                     77,                  0.639,                0.51027,                  1.057,                0.99107,                0.99036,                0.99446,                0.90726,                0.44708,                0.32485,                0.90053,              0.0004952,              0.0004952,              0.0004952
                     78,                0.63396,                0.51596,                 1.0599,                0.99334,                0.99107,                  0.995,                0.90238,                0.45417,                0.32641,                0.90274,              0.0004754,              0.0004754,              0.0004754
                     79,                0.67587,                0.50423,                 1.0893,                0.99899,                0.99107,                  0.995,                0.89451,                0.46212,                0.32874,                0.89988,              0.0004556,              0.0004556,              0.0004556
